"Taxa"
"Juncus bufonius"
"Juncus effusus"
"Juncus inflexus"
"Juncus tenuis"
"Knautia arvensis"
"Lactuca serriola"
"Lamium album"
"Lamium amplexicaule"
"Lamium maculatum"
"Lamium purpureum s. l."
"Lamium purpureum s. str."
"Lapsana communis"
"Lathyrus latifolius"
"Lathyrus pratensis"
"Lathyrus tuberosus"
"Lemna minor"
"Leontodon hispidus"
"Lepidium virginicum"
"Leucanthemum ircutianum"
"Leucanthemum vulgare agg."
"Ligustrum vulgare"
"Linaria vulgaris"
"Linum catharticum"
"Lolium multiflorum"
"Lolium perenne"
"Lonicera periclymenum"
"Lotus corniculatus"
"Lotus pedunculatus"
"Luzula campestris"
"Luzula luzuloides"
"Luzula pilosa"
"Luzula sylvatica"
"Lychnis flos-cuculi"
"Lycopus europaeus"
"Lysimachia nummularia"
"Lysimachia vulgaris"
"Lythrum salicaria"
"Mahonia aquifolium"
"Malva moschata"
"Malva neglecta"
"Matricaria chamomilla"
"Matricaria discoidea"
"Medicago lupulina"
"Medicago minima"
"Medicago varia"
"Melica uniflora"
"Melilotus albus"
"Melilotus officinalis"
"Melissa officinalis"
"Mentha aquatica"
"Mentha arvensis"
"Mentha longifolia"
"Mercurialis annua"
"Milium effusum"
"Moehringia trinervia"
"Muscari armeniacum"
"Mycelis muralis"
"Myosotis arvensis"
"Myosotis ramosissima"
"Oenothera biennis agg."
"Ononis repens"
"Origanum vulgare"
"Ornithogalum umbellatum"
"Ornithopus perpusillus"
"Oxalis acetosella"
"Oxalis corniculata"
"Oxalis dillenii"
"Oxalis stricta"
"Panicum capillare"
"Papaver dubium s. str."
"Papaver rhoeas"
"Paris quadrifolia"
"Parthenocissus inserta"
"Pastinaca sativa"
"Persicaria amphibia"
"Persicaria lapathifolia"
"Persicaria maculosa"
"Persicaria mitis"
"Petrorhagia prolifera"
"Phalaris arundinacea"
"Phleum pratense"
"Phragmites australis"
"Phytolacca americana"
"Picea abies"
"Picris hieracioides"
"Pimpinella saxifraga"
"Pinus sylvestris"
"Plantago arenaria"
"Plantago lanceolata"
"Plantago major"
"Plantago media"
"Poa angustifolia"
"Poa annua"
"Poa compressa"
"Poa nemoralis"
"Poa palustris"
"Poa pratensis"
"Poa pratensis agg."
"Poa trivialis"
"Polygonatum multiflorum"
"Polygonum aviculare"
"Polygonum aviculare agg."
"Populus alba"
"Populus canadensis"
"Populus tremula"
"Portulaca oleracea"
"Potentilla anserina"
"Potentilla argentea"
"Potentilla indica"
"Potentilla recta"
"Potentilla reptans"
"Potentilla sterilis"
"Potentilla verna"
"Primula elatior"
"Primula veris"
"Prunella vulgaris"
"Prunus avium"
"Prunus cerasifera"
"Prunus padus"
"Prunus serotina"
"Prunus spinosa"
"Pteridium aquilinum"
"Quercus petraea"
"Quercus robur"
"Quercus rubra"
"Ranunculus acris"
"Ranunculus auricomus agg."
"Ranunculus bulbosus"
"Ranunculus repens"
"Raphanus raphanistrum"
"Reseda lutea"
"Rhinanthus alectorolophus"
"Rhinanthus alectorolophus s. l."
"Rhinanthus minor"
"Ribes rubrum"
"Robinia pseudoacacia"
"Rorippa sylvestris"
"Rosa arvensis"
"Rosa canina"
"Rubus armeniacus"
"Rubus caesius"
"Rubus idaeus"
"Rubus sectio Corylifolii"
"Rubus sectio Rubus"
"Rumex acetosa"
"Rumex acetosella"
"Rumex crispus"
"Rumex obtusifolius"
"Rumex sanguineus"
"Sagina procumbens"
"Salix alba"
"Salix caprea"
"Salix cinerea"
"Salix purpurea"
"Salix rubens"
"Salvia pratensis"
"Sambucus nigra"
"Sanguisorba minor"
"Sanguisorba officinalis"
"Sanicula europaea"
"Saponaria officinalis"
"Saxifraga granulata"
"Saxifraga tridactylites"
"Scirpus sylvaticus"
"Scorzoneroides autumnalis"
"Scrophularia nodosa"
"Scutellaria galericulata"
"Securigera varia"
"Sedum acre"
"Sedum album"
"Sedum sexangulare"
"Senecio erucifolius"
"Senecio inaequidens"
"Senecio jacobaea"
"Senecio vernalis"
"Senecio vulgaris"
"Setaria pumila"
"Setaria viridis"
"Sherardia arvensis"
"Silaum silaus"
"Silene dioica"
"Silene latifolia"
"Silene latifolia subsp. alba"
"Silene vulgaris"
"Sinapis arvensis"
"Sisymbrium officinale"
"Solanum decipiens"
"Solanum dulcamara"
"Solanum nigrum s. l."
"Solidago canadensis"
"Solidago gigantea"
"Solidago virgaurea"
"Sonchus asper"
"Sonchus oleraceus"
"Sorbus aucuparia"
"Sorbus torminalis"
"Spergula arvensis"
"Spergularia rubra"
"Stachys palustris"
"Stachys sylvatica"
"Stellaria apetala"
"Stellaria aquatica"
"Stellaria graminea"
"Stellaria holostea"
"Stellaria media"
"Symphytum officinale"
"Symphytum officinale agg."
"Tanacetum vulgare"
"Taraxacum sectio Ruderalia"
"Taxus baccata"
"Teesdalia nudicaulis"
"Teucrium scorodonia"
"Thlaspi arvense"
"Thymus pulegioides"
"Tilia cordata"
"Tilia platyphyllos"
"Torilis japonica"
"Trifolium arvense"
"Trifolium campestre"
"Trifolium dubium"
"Trifolium medium"
"Trifolium pratense"
"Trifolium repens"
"Tripleurospermum perforatum"
"Trisetum flavescens"
"Tussilago farfara"
"Ulmus laevis"
"Ulmus minor"
"Urtica dioica s. l."
"Urtica dioica s. str."
"Valeriana excelsa subsp. excelsa"
"Valeriana officinalis agg."
"Valerianella locusta"
"Verbascum densiflorum"
"Verbascum lychnitis"
"Verbena officinalis"
"Veronica arvensis"
"Veronica beccabunga"
"Veronica chamaedrys"
"Veronica hederifolia"
"Veronica montana"
"Veronica officinalis"
"Veronica persica"
"Veronica serpyllifolia"
"Veronica sublobata"
"Veronica triphyllos"
"Viburnum lantana"
"Viburnum opulus"
"Vicia angustifolia s. l."
"Vicia cracca"
"Vicia hirsuta"
"Vicia lathyroides"
"Vicia segetalis"
"Vicia sepium"
"Vicia tetrasperma"
"Vincetoxicum hirundinaria"
"Viola arvensis"
"Viola hirta"
"Viola odorata"
"Viola reichenbachiana"
"Viola riviniana"
"Viscum album subsp. album"
"Viscum laxum"
"Vulpia bromoides"
"Vulpia myuros"
