"ID","X","Y"
"3447/5420",8.28951519576363,48.9152002193692
"3447/5420",8.27587297273381,48.915115442482
"3447/5420",8.27574308911662,48.924106856422
"3447/5420",8.28938776072564,48.9241916599949
"3447/5420",8.28951519576363,48.9152002193692
"3447/5421",8.28938776072564,48.9241916599949
"3447/5421",8.27574308911662,48.924106856422
"3447/5421",8.27561314108439,48.9330982560404
"3447/5421",8.28926026248676,48.9331830863085
"3447/5421",8.28938776072564,48.9241916599949
"3447/5422",8.28926026248676,48.9331830863085
"3447/5422",8.27561314108439,48.9330982560404
"3447/5422",8.27548312859608,48.9420896413377
"3447/5422",8.2891327010067,48.9421744983105
"3447/5422",8.28926026248676,48.9331830863085
"3447/5423",8.2891327010067,48.9421744983105
"3447/5423",8.27548312859608,48.9420896413377
"3447/5423",8.27535305161058,48.9510810123143
"3447/5423",8.28900507624515,48.9511658960013
"3447/5423",8.2891327010067,48.9421744983105
"3447/5424",8.28900507624515,48.9511658960013
"3447/5424",8.27535305161058,48.9510810123143
"3447/5424",8.27522291008678,48.9600723689707
"3447/5424",8.28887738816175,48.9601572793815
"3447/5424",8.28900507624515,48.9511658960013
"3447/5425",8.28887738816175,48.9601572793815
"3447/5425",8.27522291008678,48.9600723689707
"3447/5425",8.27509270398352,48.9690637113074
"3447/5425",8.28874963671614,48.9691486484516
"3447/5425",8.28887738816175,48.9601572793815
"3447/5426",8.28874963671614,48.9691486484516
"3447/5426",8.27509270398352,48.9690637113074
"3447/5426",8.2749624332596,48.978055039325
"3447/5426",8.28862182186788,48.9781400032121
"3447/5426",8.28874963671614,48.9691486484516
"3447/5427",8.28862182186788,48.9781400032121
"3447/5427",8.2749624332596,48.978055039325
"3447/5427",8.27483209787378,48.9870463530239
"3447/5427",8.2884939435765,48.9871313436635
"3447/5427",8.28862182186788,48.9781400032121
"3447/5428",8.2884939435765,48.9871313436635
"3447/5428",8.27483209787378,48.9870463530239
"3447/5428",8.2747016977848,48.9960376524046
"3447/5428",8.28836600180155,48.9961226698063
"3447/5428",8.2884939435765,48.9871313436635
"3447/5429",8.28836600180155,48.9961226698063
"3447/5429",8.2747016977848,48.9960376524046
